year,winner,winningParty,state,total,p1_votes,p1_percent,p1_EV,p2_votes,p2_percent,p2_EV,p3_votes,p3_percent,p3_EV,p4_votes,p4_percent,p4_EV,notes
1804,Jefferson,Democratic-Republican,Rhode_Island,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,South_Carolina,0,10,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Tennessee,0,5,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Vermont,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Virginia,0,24,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Federalist,Connecticut,0,0,,0,9,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Federalist,Delaware,0,0,,0,3,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Georgia,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Kentucky,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Maryland,0,9,,0,2,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Federalist,Massachusetts,0,0,,0,19,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Federalist,New_Hampshire,0,0,,0,7,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,New_Jersey,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,New_York,0,13,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,North_Carolina,0,11,,0,3,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Ohio,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Pennsylvania,0,20,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Federalist,Rhode_Island,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,South_Carolina,0,10,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Tennessee,0,5,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Vermont,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1808,Madison,Democratic-Republican,Virginia,0,24,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,Connecticut,0,0,,0,9,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,Delaware,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Georgia,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Kentucky,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Louisiana,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Maryland,0,6,,0,5,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,Massachusetts,0,0,,0,22,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,New_Hampshire,0,0,,0,8,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,New_Jersey,0,0,,0,8,,0,0,,0,0,,0,Electoral votes only
